trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
1,5:55:00,5:55:00,31695,1,0,0,0
1,5:56:14,5:56:14,38287,2,0,0,0.2479
1,5:56:46,5:56:46,15717,3,0,0,0.3542
1,5:57:13,5:57:13,16516,4,0,0,0.4447
1,5:58:06,5:58:06,16517,5,0,0,0.6231
1,5:59:42,5:59:42,1897,6,0,0,0.9439
1,6:00:14,6:00:14,1896,7,0,0,1.0511
1,6:02:00,6:02:00,39519,8,0,0,1.4051
1,6:03:00,6:03:00,2204,9,0,0,1.6072
1,6:04:09,6:04:09,39522,10,0,0,1.7845
1,6:06:00,6:06:00,1899,11,0,0,2.0712
1,6:06:51,6:06:51,42960,12,0,0,2.1915
1,6:09:29,6:09:29,1826,13,0,0,2.5657
1,6:10:30,6:10:30,1788,14,0,0,2.7095
1,6:11:11,6:11:11,1789,15,0,0,2.8068
1,6:11:56,6:11:56,1790,16,0,0,2.9134
1,6:13:21,6:13:21,1791,17,0,0,3.1136
1,6:15:00,6:15:00,42735,18,0,0,3.3479
1,6:16:28,6:16:28,39576,19,0,0,3.6375
1,6:18:07,6:18:07,1738,20,0,0,3.964
1,6:18:58,6:18:58,1739,21,0,0,4.132
1,6:19:35,6:19:35,1740,22,0,0,4.2542
1,6:20:33,6:20:33,1741,23,0,0,4.4428
1,6:21:09,6:21:09,1779,24,0,0,4.5608
1,6:21:56,6:21:56,31606,25,0,0,4.7163
1,6:22:21,6:22:21,2221,26,0,0,4.7998
1,6:23:12,6:23:12,2214,27,0,0,4.9655
1,6:23:44,6:23:44,2212,28,0,0,5.0718
1,6:24:23,6:24:23,40906,29,0,0,5.2004
1,6:25:22,6:25:22,8808,30,0,0,5.3936
1,6:26:00,6:26:00,2435,31,0,0,5.5191
1,6:27:13,6:27:13,2140,32,0,0,5.7307
1,6:27:45,6:27:45,2147,33,0,0,5.8229
1,6:28:47,6:28:47,2162,34,0,0,6.0008
1,6:29:40,6:29:40,2160,35,0,0,6.1553
1,6:31:00,6:31:00,2333,36,0,0,6.3866
1,6:31:28,6:31:28,2260,37,0,0,6.6203
1,6:32:17,6:32:17,32528,38,0,0,7.0152
1,6:32:33,6:32:33,32529,39,0,0,7.1472
